codigo_interno,nome,codigo_barras,preco,estoque,categoria,ativo
8886,"ADOC MARIZA 100ML SUCRALOSE","7896369633095",6.22,0,"mercearia",1
11409,"ADOC SADIO 100ML LIQ DIETETICO","7897518207020",3.22,0,"mercearia",1
3870,"ADOC ZERO CAL 100ML LIQ SUCRALOSE","7896094906624",6.5,0,"mercearia",1
10312,"ADOC ZERO CAL 200ML LIQ SUCRALOSE","7896094910959",11,0,"mercearia",1
19822,"ADOC ZERO CAL 65LIQ NATURAL","6500",14,0,"mercearia",1
18884,"ADOC ZERO CAL 65ML XILITOL SUCRALOSE","7896094931503",9.9,0,"mercearia",1
518,"ADOCANT ADOCYL 80ML C/STEVIA","7896094906020",9.99,0,"mercearia",1
519,"ADOCANT LINEA 75ML LIQ SUCRALOSE","7896001250628",12.5,0,"mercearia",1
11581,"ADOCANT STEVIA 100ML SADIO","7897518207044",6.22,0,"mercearia",1
12222,"ADOCANT STEVIA 60ML LIQ LINEA","7896001210103",8.5,0,"mercearia",1
3611,"ADOCANT STEVIA 80ML NATUQUALY MARIZA","7896369617552",8.45,0,"mercearia",1
516,"ADOCANT ZERO CAL 100ML TRAD","7896094910904",8.22,0,"mercearia",1
3854,"ADOCANTE STEVIA ZERO CAL 80ML","7896094915046",8.9,0,"mercearia",1
16976,"ADORNO FANTASIA PC 12UND ENFEITES","1111116160515",3,0,"mercearia",1
16975,"ADORNO FANTASIA PC 12UND SOMBRINHA","7908209131736",3,0,"mercearia",1
4095,"ADULBO CARREGO 10,28,20 /FRUTOS","65",8.22,0,"mercearia",1
4094,"ADULBO CRESCIM 18,18,18 NPK","64",8.22,0,"mercearia",1
9005,"ADULBO TERR PTA 18L AREIA ADULBADA PLANTA","1088991",17,0,"mercearia",1
18509,"ADULBO TERR PTA 18L AREIA ADULBADA PLANTA","2202",17,0,"mercearia",1
9004,"ADULBO TERR PTA 5LT ADULBADA AREIA PLANTA","1088984",6,0,"mercearia",1
18134,"ADULBO TERR PTA 5LT ADULBADA AREIA PLANTA","2201",6,0,"mercearia",1
10413,"AGENDA PERMAN 11X15CM C/DURA","7908281364213",20,0,"mercearia",1
10414,"AGENDA PERMAN 11X15CM C/DURA","7908161741400",20,0,"mercearia",1
13152,"AGENDA ROCIE 24 BICHOS C/DURA","7908631402176",17,0,"mercearia",1
13153,"AGENDA ROCIE 24 FLORES C/DURA","7908631402169",17,0,"mercearia",1
7871,"AGENDA ROCIE PERMANENTE 11X15CM C/DURA BRILHO","7908161741424",20,0,"mercearia",1
16881,"AGENDA STAR 100X150CM C/DURA 160FLH","7890265951369",22,0,"mercearia",1
16882,"AGENDA STAR 100X150CM C/DURA 160FLH","7890265951420",22,0,"mercearia",1
16883,"AGENDA STAR 100X150CM C/DURA 160FLH","7890265951826",22,0,"mercearia",1
16884,"AGENDA STAR 100X150CM C/DURA 160FLH","7890265951413",22,0,"mercearia",1
16904,"AGENDA STAR 100X150CM C/DURA 160FLH KIT","7890265951819",22,0,"mercearia",1
7870,"AGENGA ROCIE BICHOS 11X15CM C/DURA","7908281350568",16,0,"mercearia",1
7869,"AGENGA ROCIE PERMANEN 1115CM C/DURA","7908161727572",16,0,"mercearia",1
19611,"AGUA COCO JUQ 200ML INTEGRAL","7898942775680",3.75,0,"mercearia",1
15806,"AGUA COCO KERO 1L CX","7896828000239",17,0,"mercearia",1
18968,"AGUA COCO KERO 200ML CX","7896004401836",3,0,"mercearia",1
14690,"AGUA COCO KERO COCO 200ML CX","7896828000017",5.5,0,"mercearia",1
6367,"AGUA COCO PURO 200ML CX","7896000593764",3.22,0,"mercearia",1
18971,"AGUA DESMINERALIZADA 1LT COCKPIT PUREZA TOTAL","7898275013886",8,0,"mercearia",1
13222,"AGUA MICELAR AVON 150ML RENEW","7909189168736",25,0,"mercearia",1
16400,"AGUA MICELAR LOREAL 200ML REMOVE MAQ","7899706126335",32.4,0,"mercearia",1
11125,"AGUA MICELAR NATURA 150ML CRONOS","7908016621185",40,0,"mercearia",1
8496,"AGUA MICELAR SOUL 250ML","736932437655",6,0,"mercearia",1
7933,"AGUA MIN 20L GARRAFAO 9,00","4026",9,0,"mercearia",1
5605,"AGUA MIN BELAGUA 1/5ML PET","7897279300053",3.5,0,"mercearia",1
7408,"AGUA MIN BELAGUA 1/5ML PET","7894900536027",4.5,0,"mercearia",1
6572,"AGUA MIN BELAGUA 330ML PET","7894900536003",1.5,0,"mercearia",1
16233,"AGUA MIN BELAGUA 500ML GAS PET","7894900536010",2.5,0,"mercearia",1
5377,"AGUA MIN BELAGUA 500ML PET","7897279300039",2,0,"mercearia",1
7308,"AGUA MIN BELAGUA 500ML PET","7894900536515",2.22,0,"mercearia",1
7121,"AGUA MIN BELAGUA20L BUSCAR","40841",12,0,"mercearia",1
2764,"AGUA MIN BELAGUA20L ENTREGAR","4084",15,0,"mercearia",1
13318,"AGUA MIN BELAGUA20L S/ENTREGAR","4083",11,0,"mercearia",1
5072,"AGUA MIN BEM MELHOR 350ML GARRAFA","7898958672065",1,0,"mercearia",1
12747,"AGUA MIN BENEVI 500ML C/GAS","7898929064868",2,0,"mercearia",1
16684,"AGUA MIN DAGUA20L ENTREGA LEVAR GARRAFAO","4297",10,0,"mercearia",1
4576,"AGUA MIN DIAMANTE 1-5L GARR PET","751320499387",2,0,"mercearia",1
15348,"AGUA MIN DIAMANTE 1.5ML PET","7898970018414",2.22,0,"mercearia",1
10647,"AGUA MIN DIAMANTE 500ML GARR PET","751320499370",1.25,0,"mercearia",1
17633,"AGUA MIN FLORAT 500ML C/GAS","7898963843320",2,0,"mercearia",1
1283,"AGUA MIN FLORATA 1.5L PET","7898994541721",3,0,"mercearia",1
2119,"AGUA MIN FLORATA 500ML GARRAFA","7898994541738",1.22,0,"mercearia",1
5312,"AGUA MIN FLORATA 5L CAROTE","7898994541769",11.85,0,"mercearia",1
1506,"AGUA MIN FLORATA20L ENTREGA LEVAR GARRAFAO","4019",8,0,"mercearia",1
13322,"AGUA MIN FLORATA20L S/ENTREGA LEVAR GARRAFAO","4018",7,0,"mercearia",1
